Partita,V,N,P
Fiorentina-Torino,0.6244470381841889,0.24703276563601811,0.12852019617979302
Napoli-Monza,0.5832290276351115,0.27382223364026465,0.1429487387246238
Genoa-Inter,0.003913984699654286,0.06953442648041976,0.9265515888199258
Lazio-Frosinone,0.25651908370724713,0.43050698643089014,0.31297392986186273
Atalanta-Lecce,0.5503748967548163,0.3393777024096926,0.11024740083549103
Cagliari-Empoli,0.26507438377881326,0.3901801966628954,0.34474541955829124
Udinese-Bologna,0.3831366564158639,0.45842541835694023,0.15843792522719574
Verona-Salernitana,0.5659715632472074,0.38302372305752874,0.0510047136952637
Milan-Sassuolo,0.7368188431996856,0.21713627995665838,0.046044876843656095
Juventus-Roma,0.5035492497803741,0.3956946498318076,0.1007561003878183
