Partita,GG,NG
Bologna-Genoa,0.24973697282542207,0.7502630271745779
Inter-Verona,0.10459380278289143,0.8954061972171086
Frosinone-Monza,0.543057712271489,0.4569422877285109
Lecce-Cagliari,0.6098723332700522,0.39012766672994786
Sassuolo-Fiorentina,0.7796891012334595,0.22031089876654056
Empoli-Milan,0.15966198693691758,0.8403380130630824
Torino-Napoli,0.24736001442457478,0.7526399855754252
Udinese-Lazio,0.3038230615575681,0.6961769384424319
Salernitana-Juventus,0.42358059601821907,0.5764194039817809
Roma-Atalanta,0.3056163391459775,0.6943836608540225
