Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,7.0,9.0,2.0,0.0,0.0,1,6.0,2.0
Inter,4.0,5.0,1.0,0.0,0.0,2,6.0,2.0
Roma,2.0,2.0,0.0,0.0,0.0,3,6.0,2.0
Juventus,3.0,3.0,0.0,1.0,0.0,4,4.0,1.0
Milan,2.0,5.0,3.0,1.0,0.0,5,4.0,1.0
Atalanta,2.0,3.0,1.0,1.0,0.0,6,4.0,1.0
Fiorentina,1.0,3.0,2.0,1.0,0.0,7,4.0,1.0
Lazio,1.0,2.0,1.0,1.0,0.0,8,4.0,1.0
Torino,1.0,2.0,1.0,1.0,0.0,9,4.0,1.0
Sassuolo,-2.0,1.0,3.0,0.0,1.0,10,3.0,1.0
Spezia,-2.0,1.0,3.0,0.0,1.0,11,3.0,1.0
Bologna,-1.0,2.0,3.0,1.0,1.0,12,1.0,0.0
Empoli,-1.0,0.0,1.0,1.0,1.0,13,1.0,0.0
Salernitana,-1.0,0.0,1.0,1.0,1.0,14,1.0,0.0
Udinese,-2.0,2.0,4.0,1.0,1.0,15,1.0,0.0
Sampdoria,-2.0,0.0,2.0,1.0,1.0,16,1.0,0.0
Verona,-3.0,3.0,6.0,1.0,1.0,17,1.0,0.0
Cremonese,-2.0,2.0,4.0,0.0,2.0,18,0.0,0.0
Lecce,-2.0,1.0,3.0,0.0,2.0,19,0.0,0.0
Monza,-5.0,1.0,6.0,0.0,2.0,20,0.0,0.0
