squadra,0,1,2,3,4
Juventus,0.24,0.33,0.27,0.12,0.04
Cagliari,0.33,0.55,0.1,0.01,0.0
Empoli,0.21,0.46,0.16,0.13,0.03
Verona,0.37,0.4,0.13,0.06,0.03
Inter,0.06,0.22,0.37,0.21,0.13
Lazio,0.31,0.39,0.15,0.13,0.01
Napoli,0.24,0.22,0.27,0.15,0.12
Frosinone,0.28,0.39,0.21,0.09,0.03
Monza,0.25,0.34,0.18,0.18,0.04
Genoa,0.25,0.36,0.19,0.16,0.03
Lecce,0.21,0.33,0.3,0.13,0.03
Milan,0.12,0.24,0.34,0.16,0.13
Salernitana,0.21,0.43,0.22,0.12,0.01
Atalanta,0.22,0.31,0.27,0.09,0.1
Sassuolo,0.34,0.46,0.12,0.04,0.03
Torino,0.27,0.28,0.22,0.12,0.1
Udinese,0.34,0.52,0.1,0.03,0.0
Fiorentina,0.24,0.33,0.27,0.1,0.06
Bologna,0.27,0.31,0.19,0.15,0.07
Roma,0.24,0.25,0.27,0.16,0.07
