,squadra,avversario,giornata,anno
0,Juventus,Lecce,5,2023
1,Cagliari,Milan,5,2023
2,Empoli,Salernitana,5,2023
3,Verona,Atalanta,5,2023
4,Inter,Sassuolo,5,2023
5,Lazio,Torino,5,2023
6,Napoli,Udinese,5,2023
7,Frosinone,Fiorentina,5,2023
8,Monza,Bologna,5,2023
9,Genoa,Roma,5,2023
10,Lecce,Juventus,5,2023
11,Milan,Cagliari,5,2023
12,Salernitana,Empoli,5,2023
13,Atalanta,Verona,5,2023
14,Sassuolo,Inter,5,2023
15,Torino,Lazio,5,2023
16,Udinese,Napoli,5,2023
17,Fiorentina,Frosinone,5,2023
18,Bologna,Monza,5,2023
19,Roma,Genoa,5,2023
