,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,27.0,56.0,29.0,6.0,1,66.0,4.0,20.0
Napoli,31.0,51.0,20.0,6.0,2,63.0,5.0,19.0
Inter,37.0,63.0,26.0,9.0,3,60.0,4.0,17.0
Juventus,21.0,47.0,26.0,8.0,4,59.0,5.0,17.0
Atalanta,20.0,55.0,35.0,10.0,5,52.0,6.0,14.0
Roma,15.0,50.0,35.0,6.0,6,51.0,9.0,15.0
Lazio,13.0,57.0,44.0,7.0,7,49.0,9.0,14.0
Fiorentina,6.0,48.0,42.0,5.0,8,47.0,11.0,14.0
Sassuolo,6.0,53.0,47.0,10.0,9,43.0,9.0,11.0
Verona,8.0,55.0,47.0,9.0,10,42.0,10.0,11.0
Torino,4.0,37.0,33.0,9.0,11,36.0,12.0,9.0
Bologna,-11.0,34.0,45.0,6.0,12,36.0,14.0,10.0
Udinese,-7.0,40.0,47.0,12.0,13,33.0,11.0,7.0
Empoli,-14.0,41.0,55.0,9.0,14,33.0,13.0,8.0
Sampdoria,-12.0,39.0,51.0,5.0,15,29.0,17.0,8.0
Spezia,-23.0,31.0,54.0,5.0,16,29.0,17.0,8.0
Cagliari,-26.0,28.0,54.0,10.0,17,25.0,15.0,5.0
Genoa,-24.0,23.0,47.0,16.0,18,22.0,12.0,2.0
Venezia,-30.0,26.0,56.0,7.0,19,22.0,18.0,5.0
Salernitana,-41.0,25.0,66.0,7.0,20,22.0,18.0,5.0
